EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-10,1,0,1,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-11,0,0,1,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-12,2,0,3,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-13,0,0,3,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-14,0,0,3,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-15,1,0,4,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-16,4,1.142857143,8,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-17,3,1.428571429,11,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-18,1,1.571428571,12,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-19,2,1.571428571,14,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-20,2,1.857142857,16,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-21,1,2,17,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-22,1,2,18,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-23,3,1.857142857,21,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-24,4,2,25,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-25,4,2.428571429,29,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-26,2,2.428571429,31,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-27,4,2.714285714,35,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-28,0,2.571428571,35,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-29,4,3,39,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-30,5,3.285714286,44,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-05-31,6,3.571428571,50,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-01,6,3.857142857,56,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-02,9,4.857142857,65,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-03,6,5.142857143,71,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-04,3,5.571428571,74,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-05,5,5.714285714,79,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-06,12,6.714285714,91,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-07,17,8.285714286,108,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-08,6,8.285714286,114,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-09,4,7.571428571,118,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-10,20,9.571428571,138,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-11,13,11,151,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-12,17,12.71428571,168,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-13,14,13,182,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-14,23,13.85714286,205,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-15,28,17,233,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-16,20,19.28571429,253,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-17,21,19.42857143,274,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-18,21,20.57142857,295,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-19,23,21.42857143,318,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-20,21,22.42857143,339,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-21,26,22.85714286,365,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-22,40,24.57142857,405,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-23,41,27.57142857,446,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-24,42,30.57142857,488,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-25,42,33.57142857,530,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-26,43,36.42857143,573,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-27,93,46.71428571,666,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-28,79,54.28571429,745,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-29,78,59.71428571,823,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-06-30,101,68.28571429,924,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-01,116,78.85714286,1040,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-02,100,87.14285714,1140,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-03,98,95,1238,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-04,107,97,1345,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-05,150,107.1428571,1495,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-06,154,118,1649,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-07,166,127.2857143,1815,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-08,200,139.2857143,2015,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-09,147,146,2162,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-10,137,151.5714286,2299,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-11,299,179,2598,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-12,214,188.1428571,2812,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-13,278,205.8571429,3090,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-14,265,220,3355,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-15,341,240.1428571,3696,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-16,205,248.4285714,3901,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-17,174,253.7142857,4075,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-18,367,263.4285714,4442,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-19,308,276.8571429,4750,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-20,315,282.1428571,5065,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-21,298,286.8571429,5363,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-22,380,292.4285714,5743,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-23,250,298.8571429,5993,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-24,228,306.5714286,6221,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-25,526,329.2857143,6747,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-26,359,336.5714286,7106,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-27,474,359.2857143,7580,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-28,433,378.5714286,8013,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-29,454,389.1428571,8467,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-30,311,397.8571429,8778,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-07-31,258,402.1428571,9036,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-08-01,568,408.1428571,9604,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-08-02,499,428.1428571,10103,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
2022-08-03,481,429.1428571,10584,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT,2022-10-19
