EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-10,1,0,1,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-11,1,0,2,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-12,2,0,4,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-13,0,0,4,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-14,0,0,4,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-15,1,0,5,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-16,4,1.285714286,9,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-17,3,1.571428571,12,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-18,1,1.571428571,13,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-19,2,1.571428571,15,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-20,1,1.714285714,16,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-21,1,1.857142857,17,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-22,1,1.857142857,18,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-23,2,1.571428571,20,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-24,3,1.571428571,23,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-25,4,2,27,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-26,1,1.857142857,28,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-27,4,2.285714286,32,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-28,0,2.142857143,32,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-29,4,2.571428571,36,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-30,5,3,41,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-05-31,6,3.428571429,47,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-01,6,3.714285714,53,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-02,9,4.857142857,62,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-03,6,5.142857143,68,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-04,3,5.571428571,71,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-05,5,5.714285714,76,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-06,12,6.714285714,88,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-07,17,8.285714286,105,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-08,6,8.285714286,111,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-09,4,7.571428571,115,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-10,20,9.571428571,135,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-11,13,11,148,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
2022-06-12,17,12.71428571,165,Data as Reported to CDC as of 26 Oct 2022 2:00 PM EDT,2022-10-30
