EpidateDT,CaseCNT,RollingNBR,CumulativeCNT,UpdateDT,ReportDT
2022-05-10,1,0,1,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-11,1,0,2,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-12,2,0,4,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-13,0,0,4,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-14,0,0,4,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-15,1,0,5,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-16,4,1.285714286,9,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-17,3,1.571428571,12,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-18,1,1.571428571,13,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-19,2,1.571428571,15,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-20,1,1.714285714,16,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-21,1,1.857142857,17,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-22,1,1.857142857,18,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-23,2,1.571428571,20,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-24,3,1.571428571,23,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-25,4,2,27,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-26,1,1.857142857,28,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-27,4,2.285714286,32,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-28,0,2.142857143,32,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-29,4,2.571428571,36,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-30,5,3,41,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-05-31,6,3.428571429,47,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-01,6,3.714285714,53,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-02,9,4.857142857,62,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-03,6,5.142857143,68,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-04,3,5.571428571,71,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-05,5,5.714285714,76,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-06,12,6.714285714,88,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-07,17,8.285714286,105,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-08,6,8.285714286,111,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-09,4,7.571428571,115,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-10,20,9.571428571,135,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-11,13,11,148,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-12,17,12.71428571,165,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-13,14,13,179,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-14,23,13.85714286,202,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-15,28,17,230,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-16,21,19.42857143,251,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-17,22,19.71428571,273,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-18,22,21,295,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-19,24,22,319,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-20,24,23.42857143,343,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-21,26,23.85714286,369,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-22,40,25.57142857,409,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-23,42,28.57142857,451,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-24,42,31.42857143,493,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-25,43,34.42857143,536,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-26,46,37.57142857,582,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-27,95,47.71428571,677,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-28,78,55.14285714,755,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-29,76,60.28571429,831,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-06-30,100,68.57142857,931,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-01,117,79.28571429,1048,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-02,101,87.57142857,1149,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-03,103,95.71428571,1252,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-04,108,97.57142857,1360,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-05,154,108.4285714,1514,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-06,159,120.2857143,1673,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-07,166,129.7142857,1839,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-08,198,141.2857143,2037,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-09,153,148.7142857,2190,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-10,140,154,2330,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-11,302,181.7142857,2632,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-12,215,190.4285714,2847,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-13,279,207.5714286,3126,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-14,264,221.5714286,3390,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-15,346,242.7142857,3736,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-16,203,249.8571429,3939,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-17,177,255.1428571,4116,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-18,372,265.1428571,4488,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-19,318,279.8571429,4806,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-20,314,284.8571429,5120,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-21,306,290.8571429,5426,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-22,373,294.7142857,5799,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-23,244,300.5714286,6043,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-24,231,308.2857143,6274,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-25,534,331.4285714,6808,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-26,356,336.8571429,7164,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-27,468,358.8571429,7632,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-28,421,375.2857143,8053,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-29,466,388.5714286,8519,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-30,318,399.1428571,8837,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-07-31,264,403.8571429,9101,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-01,573,409.4285714,9674,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-02,507,431,10181,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-03,491,434.2857143,10672,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-04,451,438.5714286,11123,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-05,492,442.2857143,11615,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-06,343,445.8571429,11958,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-07,273,447.1428571,12231,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-08,548,443.5714286,12779,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-09,464,437.4285714,13243,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-10,510,440.1428571,13753,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-11,429,437,14182,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-12,436,429,14618,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-13,308,424,14926,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-14,259,422,15185,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-15,555,423,15740,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-16,372,409.8571429,16112,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-17,363,388.8571429,16475,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-18,432,389.2857143,16907,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-19,433,388.8571429,17340,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-20,286,385.7142857,17626,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
2022-08-21,202,377.5714286,17828,Data as Reported to CDC as of 09 Nov 2022 2:00 PM EDT,2022-11-09
