Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Alabama,115,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Arizona,473,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Arkansas,58,51 to 100,Data as of September 28 2022 at 2:00 pm EDT
California,4886,>500,Data as of September 28 2022 at 2:00 pm EDT
Colorado,278,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Connecticut,125,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Delaware,36,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
District of Columbia,495,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Florida,2508,>500,Data as of September 28 2022 at 2:00 pm EDT
Georgia,1784,>500,Data as of September 28 2022 at 2:00 pm EDT
Hawaii,29,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
Idaho,13,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
Illinois,1305,>500,Data as of September 28 2022 at 2:00 pm EDT
Indiana,228,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Iowa,25,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
Kansas,10,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Kentucky,53,51 to 100,Data as of September 28 2022 at 2:00 pm EDT
Louisiana,247,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Maine,9,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Maryland,657,>500,Data as of September 28 2022 at 2:00 pm EDT
Massachusetts,390,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Michigan,266,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Minnesota,193,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Mississippi,85,51 to 100,Data as of September 28 2022 at 2:00 pm EDT
Missouri,103,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Montana,5,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Nebraska,28,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
Nevada,264,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
New Hampshire,29,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
New Jersey,701,>500,Data as of September 28 2022 at 2:00 pm EDT
New Mexico,40,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
New York,3904,>500,Data as of September 28 2022 at 2:00 pm EDT
North Carolina,566,>500,Data as of September 28 2022 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Ohio,275,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Oklahoma,38,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
Oregon,214,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Pennsylvania,754,>500,Data as of September 28 2022 at 2:00 pm EDT
Puerto Rico,179,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Rhode Island,73,51 to 100,Data as of September 28 2022 at 2:00 pm EDT
South Carolina,164,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
South Dakota,2,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Tennessee,282,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Texas,2299,>500,Data as of September 28 2022 at 2:00 pm EDT
Utah,157,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Virginia,464,101 to 500,Data as of September 28 2022 at 2:00 pm EDT
Washington,593,>500,Data as of September 28 2022 at 2:00 pm EDT
West Virginia,11,11 to 50,Data as of September 28 2022 at 2:00 pm EDT
Wisconsin,75,51 to 100,Data as of September 28 2022 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of September 28 2022 at 2:00 pm EDT
Total,25509,,Data as of September 28 2022 at 2:00 pm EDT
