Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of February 01 2023 at 2:00 pm EDT
Alabama,187,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of February 01 2023 at 2:00 pm EDT
Arizona,587,>500,Data as of February 01 2023 at 2:00 pm EDT
Arkansas,72,51 to 100,Data as of February 01 2023 at 2:00 pm EDT
California,5725,>500,Data as of February 01 2023 at 2:00 pm EDT
Colorado,406,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Connecticut,146,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Delaware,43,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
District of Columbia,527,>500,Data as of February 01 2023 at 2:00 pm EDT
Florida,2865,>500,Data as of February 01 2023 at 2:00 pm EDT
Georgia,1988,>500,Data as of February 01 2023 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
Idaho,16,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
Illinois,1430,>500,Data as of February 01 2023 at 2:00 pm EDT
Indiana,286,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
Kansas,50,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
Kentucky,103,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Louisiana,309,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Maine,13,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
Maryland,741,>500,Data as of February 01 2023 at 2:00 pm EDT
Massachusetts,455,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Michigan,398,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Minnesota,234,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Mississippi,108,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Missouri,217,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Montana,7,1 to 10,Data as of February 01 2023 at 2:00 pm EDT
Nebraska,32,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
Nevada,323,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
New Hampshire,33,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
New Jersey,764,>500,Data as of February 01 2023 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of February 01 2023 at 2:00 pm EDT
New York,4222,>500,Data as of February 01 2023 at 2:00 pm EDT
North Carolina,734,>500,Data as of February 01 2023 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of February 01 2023 at 2:00 pm EDT
Ohio,392,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Oklahoma,69,51 to 100,Data as of February 01 2023 at 2:00 pm EDT
Oregon,274,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Pennsylvania,865,>500,Data as of February 01 2023 at 2:00 pm EDT
Puerto Rico,206,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Rhode Island,86,51 to 100,Data as of February 01 2023 at 2:00 pm EDT
South Carolina,236,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of February 01 2023 at 2:00 pm EDT
Tennessee,394,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Texas,2901,>500,Data as of February 01 2023 at 2:00 pm EDT
Utah,196,101 to 500,Data as of February 01 2023 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of February 01 2023 at 2:00 pm EDT
Virginia,569,>500,Data as of February 01 2023 at 2:00 pm EDT
Washington,669,>500,Data as of February 01 2023 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of February 01 2023 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of February 01 2023 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of February 01 2023 at 2:00 pm EDT
Total,30123,,Data as of February 01 2023 at 2:00 pm EDT
