"Location","Cases","Case Range","AsOf"
"Alabama",53,"51 to 100",Data as of August 25 2022 at 2:00 pm EDT
"Alaska",3,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Arizona",271,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Arkansas",24,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"California",3068,">500","Data as of August 25 2022 at 2:00 pm EDT"
"Colorado",189,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Connecticut",87,"51 to 100","Data as of August 25 2022 at 2:00 pm EDT"
"Delaware",20,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"District of Columbia",414,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Florida",1713,">500","Data as of August 25 2022 at 2:00 pm EDT"
"Georgia",1240,">500","Data as of August 25 2022 at 2:00 pm EDT"
"Hawaii",15,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"Idaho",9,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Illinois",999,">500","Data as of August 25 2022 at 2:00 pm EDT"
"Indiana",141,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Iowa",16,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"Kansas",5,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Kentucky",26,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"Louisiana",157,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Maine",5,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Maryland",453,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Massachusetts",280,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Michigan",157,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Minnesota",106,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Mississippi",25,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"Missouri",41,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"Montana",2,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Nebraska",23,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"Nevada",126,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"New Hampshire",18,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"New Jersey",471,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"New Mexico",23,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"New York",3117,">500","Data as of August 25 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"North Carolina",265,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"North Dakota",4,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Ohio",148,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Oklahoma",22,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Pennsylvania",465,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Puerto Rico",90,"51 to 100","Data as of August 25 2022 at 2:00 pm EDT"
"Rhode Island",41,"11 to 50","Data as of August 25 2022 at 2:00 pm EDT"
"South Carolina",95,"51 to 100","Data as of August 25 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Tennessee",152,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Texas",1432,">500","Data as of August 25 2022 at 2:00 pm EDT"
"Total",16926,"","Data as of August 25 2022 at 2:00 pm EDT"
"Utah",90,"51 to 100","Data as of August 25 2022 at 2:00 pm EDT"
"Vermont",2,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Virginia",284,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"Washington",332,"101 to 500","Data as of August 25 2022 at 2:00 pm EDT"
"West Virginia",4,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of August 25 2022 at 2:00 pm EDT"
"Wyoming",1,"1 to 10","Data as of August 25 2022 at 2:00 pm EDT"
