Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of January 18 2023 at 2:00 pm EDT
Alabama,186,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of January 18 2023 at 2:00 pm EDT
Arizona,583,>500,Data as of January 18 2023 at 2:00 pm EDT
Arkansas,72,51 to 100,Data as of January 18 2023 at 2:00 pm EDT
California,5706,>500,Data as of January 18 2023 at 2:00 pm EDT
Colorado,405,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Connecticut,145,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Delaware,43,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
District of Columbia,525,>500,Data as of January 18 2023 at 2:00 pm EDT
Florida,2862,>500,Data as of January 18 2023 at 2:00 pm EDT
Georgia,1985,>500,Data as of January 18 2023 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
Idaho,16,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
Illinois,1425,>500,Data as of January 18 2023 at 2:00 pm EDT
Indiana,286,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
Kansas,49,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
Kentucky,98,51 to 100,Data as of January 18 2023 at 2:00 pm EDT
Louisiana,306,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Maine,13,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
Maryland,740,>500,Data as of January 18 2023 at 2:00 pm EDT
Massachusetts,456,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Michigan,398,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Minnesota,234,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Mississippi,108,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Missouri,213,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Montana,7,1 to 10,Data as of January 18 2023 at 2:00 pm EDT
Nebraska,32,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
Nevada,319,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
New Hampshire,33,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
New Jersey,764,>500,Data as of January 18 2023 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of January 18 2023 at 2:00 pm EDT
New York,4216,>500,Data as of January 18 2023 at 2:00 pm EDT
North Carolina,733,>500,Data as of January 18 2023 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of January 18 2023 at 2:00 pm EDT
Ohio,392,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Oklahoma,68,51 to 100,Data as of January 18 2023 at 2:00 pm EDT
Oregon,272,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Pennsylvania,865,>500,Data as of January 18 2023 at 2:00 pm EDT
Puerto Rico,198,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Rhode Island,84,51 to 100,Data as of January 18 2023 at 2:00 pm EDT
South Carolina,234,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of January 18 2023 at 2:00 pm EDT
Tennessee,393,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Texas,2893,>500,Data as of January 18 2023 at 2:00 pm EDT
Utah,194,101 to 500,Data as of January 18 2023 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of January 18 2023 at 2:00 pm EDT
Virginia,568,>500,Data as of January 18 2023 at 2:00 pm EDT
Washington,662,>500,Data as of January 18 2023 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of January 18 2023 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of January 18 2023 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of January 18 2023 at 2:00 pm EDT
Total,30026,,Data as of January 18 2023 at 2:00 pm EDT
