Location,Cases,Case_Range,AsOf
Non-US Resident,0,0,Data as of March 05 2024 at 2:00 pm EDT
Alabama,194,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of March 05 2024 at 2:00 pm EDT
Arizona,603,>500,Data as of March 05 2024 at 2:00 pm EDT
Arkansas,81,51 to 100,Data as of March 05 2024 at 2:00 pm EDT
California,6160,>500,Data as of March 05 2024 at 2:00 pm EDT
Colorado,429,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Connecticut,150,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Delaware,44,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
District of Columbia,561,>500,Data as of March 05 2024 at 2:00 pm EDT
Florida,2992,>500,Data as of March 05 2024 at 2:00 pm EDT
Georgia,2075,>500,Data as of March 05 2024 at 2:00 pm EDT
Hawaii,40,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
Idaho,26,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
Illinois,1593,>500,Data as of March 05 2024 at 2:00 pm EDT
Indiana,309,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
Kansas,50,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
Kentucky,111,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Louisiana,329,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Maine,14,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
Maryland,759,>500,Data as of March 05 2024 at 2:00 pm EDT
Massachusetts,483,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Michigan,401,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Minnesota,258,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Mississippi,111,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Missouri,229,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Montana,7,1 to 10,Data as of March 05 2024 at 2:00 pm EDT
Nebraska,34,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
Nevada,338,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
New Hampshire,35,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
New Jersey,817,>500,Data as of March 05 2024 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of March 05 2024 at 2:00 pm EDT
New York,4528,>500,Data as of March 05 2024 at 2:00 pm EDT
North Carolina,728,>500,Data as of March 05 2024 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of March 05 2024 at 2:00 pm EDT
Ohio,428,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Oklahoma,85,51 to 100,Data as of March 05 2024 at 2:00 pm EDT
Oregon,302,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Pennsylvania,887,>500,Data as of March 05 2024 at 2:00 pm EDT
Puerto Rico,221,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Rhode Island,89,51 to 100,Data as of March 05 2024 at 2:00 pm EDT
South Carolina,239,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of March 05 2024 at 2:00 pm EDT
Tennessee,422,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Texas,3163,>500,Data as of March 05 2024 at 2:00 pm EDT
Utah,203,101 to 500,Data as of March 05 2024 at 2:00 pm EDT
Vermont,4,1 to 10,Data as of March 05 2024 at 2:00 pm EDT
Virginia,584,>500,Data as of March 05 2024 at 2:00 pm EDT
Washington,737,>500,Data as of March 05 2024 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of March 05 2024 at 2:00 pm EDT
Wisconsin,93,51 to 100,Data as of March 05 2024 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of March 05 2024 at 2:00 pm EDT
Total,32063,,Data as of March 05 2024 at 2:00 pm EDT
