Location,Cases,Case_Range,AsOf
Non-US Resident,0,0,Data as of November 30 2023 at 2:00 pm EDT
Alabama,193,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of November 30 2023 at 2:00 pm EDT
Arizona,597,>500,Data as of November 30 2023 at 2:00 pm EDT
Arkansas,79,51 to 100,Data as of November 30 2023 at 2:00 pm EDT
California,6015,>500,Data as of November 30 2023 at 2:00 pm EDT
Colorado,418,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Connecticut,148,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Delaware,44,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
District of Columbia,549,>500,Data as of November 30 2023 at 2:00 pm EDT
Florida,2923,>500,Data as of November 30 2023 at 2:00 pm EDT
Georgia,2034,>500,Data as of November 30 2023 at 2:00 pm EDT
Hawaii,39,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
Idaho,17,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
Illinois,1557,>500,Data as of November 30 2023 at 2:00 pm EDT
Indiana,300,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
Kansas,50,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
Kentucky,109,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Louisiana,318,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Maine,13,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
Maryland,757,>500,Data as of November 30 2023 at 2:00 pm EDT
Massachusetts,471,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Michigan,399,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Minnesota,246,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Mississippi,109,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Missouri,225,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Montana,7,1 to 10,Data as of November 30 2023 at 2:00 pm EDT
Nebraska,34,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
Nevada,334,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
New Hampshire,35,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
New Jersey,787,>500,Data as of November 30 2023 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of November 30 2023 at 2:00 pm EDT
New York,4365,>500,Data as of November 30 2023 at 2:00 pm EDT
North Carolina,711,>500,Data as of November 30 2023 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of November 30 2023 at 2:00 pm EDT
Ohio,403,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Oklahoma,83,51 to 100,Data as of November 30 2023 at 2:00 pm EDT
Oregon,299,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Pennsylvania,872,>500,Data as of November 30 2023 at 2:00 pm EDT
Puerto Rico,207,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Rhode Island,85,51 to 100,Data as of November 30 2023 at 2:00 pm EDT
South Carolina,239,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of November 30 2023 at 2:00 pm EDT
Tennessee,406,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Texas,3085,>500,Data as of November 30 2023 at 2:00 pm EDT
Utah,200,101 to 500,Data as of November 30 2023 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of November 30 2023 at 2:00 pm EDT
Virginia,576,>500,Data as of November 30 2023 at 2:00 pm EDT
Washington,726,>500,Data as of November 30 2023 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of November 30 2023 at 2:00 pm EDT
Wisconsin,93,51 to 100,Data as of November 30 2023 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of November 30 2023 at 2:00 pm EDT
Total,31277,,Data as of November 30 2023 at 2:00 pm EDT
