Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Alabama,112,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Arizona,446,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Arkansas,56,51 to 100,Data as of September 23 2022 at 2:00 pm EDT
California,4886,>500,Data as of September 23 2022 at 2:00 pm EDT
Colorado,263,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Connecticut,124,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Delaware,36,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
District of Columbia,494,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Florida,2444,>500,Data as of September 23 2022 at 2:00 pm EDT
Georgia,1736,>500,Data as of September 23 2022 at 2:00 pm EDT
Hawaii,27,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
Idaho,12,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
Illinois,1270,>500,Data as of September 23 2022 at 2:00 pm EDT
Indiana,223,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Iowa,25,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
Kansas,9,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Kentucky,51,51 to 100,Data as of September 23 2022 at 2:00 pm EDT
Louisiana,243,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Maine,9,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Maryland,636,>500,Data as of September 23 2022 at 2:00 pm EDT
Massachusetts,381,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Michigan,257,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Minnesota,182,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Mississippi,73,51 to 100,Data as of September 23 2022 at 2:00 pm EDT
Missouri,84,51 to 100,Data as of September 23 2022 at 2:00 pm EDT
Montana,5,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Nebraska,28,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
Nevada,218,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
New Hampshire,29,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
New Jersey,683,>500,Data as of September 23 2022 at 2:00 pm EDT
New Mexico,40,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
New York,3842,>500,Data as of September 23 2022 at 2:00 pm EDT
North Carolina,512,>500,Data as of September 23 2022 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Ohio,263,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Oklahoma,36,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
Oregon,205,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Pennsylvania,724,>500,Data as of September 23 2022 at 2:00 pm EDT
Puerto Rico,170,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Rhode Island,73,51 to 100,Data as of September 23 2022 at 2:00 pm EDT
South Carolina,156,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
South Dakota,2,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Tennessee,273,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Texas,2225,>500,Data as of September 23 2022 at 2:00 pm EDT
Utah,149,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Virginia,452,101 to 500,Data as of September 23 2022 at 2:00 pm EDT
Washington,583,>500,Data as of September 23 2022 at 2:00 pm EDT
West Virginia,11,11 to 50,Data as of September 23 2022 at 2:00 pm EDT
Wisconsin,69,51 to 100,Data as of September 23 2022 at 2:00 pm EDT
Wyoming,2,1 to 10,Data as of September 23 2022 at 2:00 pm EDT
Total,24846,,Data as of September 23 2022 at 2:00 pm EDT
