Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of January 25 2023 at 2:00 pm EDT
Alabama,186,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of January 25 2023 at 2:00 pm EDT
Arizona,584,>500,Data as of January 25 2023 at 2:00 pm EDT
Arkansas,72,51 to 100,Data as of January 25 2023 at 2:00 pm EDT
California,5719,>500,Data as of January 25 2023 at 2:00 pm EDT
Colorado,405,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Connecticut,145,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Delaware,43,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
District of Columbia,525,>500,Data as of January 25 2023 at 2:00 pm EDT
Florida,2864,>500,Data as of January 25 2023 at 2:00 pm EDT
Georgia,1987,>500,Data as of January 25 2023 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
Idaho,16,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
Illinois,1430,>500,Data as of January 25 2023 at 2:00 pm EDT
Indiana,286,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
Kansas,50,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
Kentucky,100,51 to 100,Data as of January 25 2023 at 2:00 pm EDT
Louisiana,308,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Maine,13,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
Maryland,740,>500,Data as of January 25 2023 at 2:00 pm EDT
Massachusetts,456,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Michigan,398,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Minnesota,234,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Mississippi,108,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Missouri,217,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Montana,7,1 to 10,Data as of January 25 2023 at 2:00 pm EDT
Nebraska,32,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
Nevada,321,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
New Hampshire,33,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
New Jersey,764,>500,Data as of January 25 2023 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of January 25 2023 at 2:00 pm EDT
New York,4221,>500,Data as of January 25 2023 at 2:00 pm EDT
North Carolina,735,>500,Data as of January 25 2023 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of January 25 2023 at 2:00 pm EDT
Ohio,392,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Oklahoma,69,51 to 100,Data as of January 25 2023 at 2:00 pm EDT
Oregon,275,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Pennsylvania,865,>500,Data as of January 25 2023 at 2:00 pm EDT
Puerto Rico,206,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Rhode Island,84,51 to 100,Data as of January 25 2023 at 2:00 pm EDT
South Carolina,234,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of January 25 2023 at 2:00 pm EDT
Tennessee,394,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Texas,2901,>500,Data as of January 25 2023 at 2:00 pm EDT
Utah,196,101 to 500,Data as of January 25 2023 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of January 25 2023 at 2:00 pm EDT
Virginia,569,>500,Data as of January 25 2023 at 2:00 pm EDT
Washington,664,>500,Data as of January 25 2023 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of January 25 2023 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of January 25 2023 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of January 25 2023 at 2:00 pm EDT
Total,30093,,Data as of January 25 2023 at 2:00 pm EDT
