Location,Cases,Case Range,AsOf
Alabama,47,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Alaska,3,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Arizona,258,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Arkansas,21,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
California,2663,>500,Data as of 22 Aug 2022 2:00 PM EDT
Colorado,155,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Connecticut,82,51 to 100,Data as of 22 Aug 2022 2:00 PM EDT
Delaware,17,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
District of Columbia,372,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Florida,1588,>500,Data as of 22 Aug 2022 2:00 PM EDT
Georgia,1190,>500,Data as of 22 Aug 2022 2:00 PM EDT
Hawaii,13,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Idaho,9,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Illinois,951,>500,Data as of 22 Aug 2022 2:00 PM EDT
Indiana,107,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Iowa,15,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Kansas,3,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Kentucky,22,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Louisiana,146,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Maine,5,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Maryland,379,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Massachusetts,265,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Michigan,138,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Minnesota,101,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Mississippi,19,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Missouri,34,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Montana,2,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Nebraska,21,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Nevada,118,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
New Hampshire,16,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
New Jersey,420,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
New Mexico,19,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
New York,2910,>500,Data as of 22 Aug 2022 2:00 PM EDT
Non-US Resident,3,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
North Carolina,250,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
North Dakota,4,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Ohio,133,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Oklahoma,18,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Oregon,141,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Pennsylvania,422,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Puerto Rico,77,51 to 100,Data as of 22 Aug 2022 2:00 PM EDT
Rhode Island,38,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
South Carolina,86,51 to 100,Data as of 22 Aug 2022 2:00 PM EDT
South Dakota,2,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Tennessee,137,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Texas,1283,>500,Data as of 22 Aug 2022 2:00 PM EDT
Total,15433,,Data as of 22 Aug 2022 2:00 PM EDT
Utah,89,51 to 100,Data as of 22 Aug 2022 2:00 PM EDT
Vermont,2,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Virginia,263,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
Washington,328,101 to 500,Data as of 22 Aug 2022 2:00 PM EDT
West Virginia,4,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
Wisconsin,43,11 to 50,Data as of 22 Aug 2022 2:00 PM EDT
Wyoming,1,1 to 10,Data as of 22 Aug 2022 2:00 PM EDT
