"Location","Cases","Case Range","AsOf"
"Alabama",90,"51 to 100","Data as of September 19 2022 at 2:00 pm EDT"
"Alaska",5,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"Arizona",411,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Arkansas",54,"51 to 100","Data as of September 19 2022 at 2:00 pm EDT"
"California",4656,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Colorado",253,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Connecticut",124,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Delaware",35,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"District of Columbia",484,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Florida",2398,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Georgia",1702,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Hawaii",25,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"Idaho",12,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"Illinois",1220,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Indiana",209,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Iowa",22,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"Kansas",9,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"Kentucky",47,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"Louisiana",234,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Maine",9,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"Maryland",621,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Massachusetts",374,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Michigan",246,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Minnesota",171,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Mississippi",65,"51 to 100","Data as of September 19 2022 at 2:00 pm EDT"
"Missouri",81,"51 to 100","Data as of September 19 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"Nebraska",28,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"Nevada",217,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"New Hampshire",28,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"New Jersey",654,">500","Data as of September 19 2022 at 2:00 pm EDT"
"New Mexico",33,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"New York",3755,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"North Carolina",434,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"Ohio",248,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Oklahoma",35,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"Oregon",185,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Pennsylvania",703,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Puerto Rico",163,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Rhode Island",68,"51 to 100","Data as of September 19 2022 at 2:00 pm EDT"
"South Carolina",142,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"Tennessee",257,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Texas",2150,">500","Data as of September 19 2022 at 2:00 pm EDT"
"Total",23893,"","Data as of September 19 2022 at 2:00 pm EDT"
"Utah",140,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
"Virginia",440,"101 to 500","Data as of September 19 2022 at 2:00 pm EDT"
"Washington",556,">500","Data as of September 19 2022 at 2:00 pm EDT"
"West Virginia",11,"11 to 50","Data as of September 19 2022 at 2:00 pm EDT"
"Wisconsin",69,"51 to 100","Data as of September 19 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 19 2022 at 2:00 pm EDT"
