Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of December 28 2022 at 2:00 pm EDT
Alabama,186,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of December 28 2022 at 2:00 pm EDT
Arizona,579,>500,Data as of December 28 2022 at 2:00 pm EDT
Arkansas,72,51 to 100,Data as of December 28 2022 at 2:00 pm EDT
California,5640,>500,Data as of December 28 2022 at 2:00 pm EDT
Colorado,404,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Connecticut,144,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Delaware,43,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
District of Columbia,525,>500,Data as of December 28 2022 at 2:00 pm EDT
Florida,2852,>500,Data as of December 28 2022 at 2:00 pm EDT
Georgia,1984,>500,Data as of December 28 2022 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
Idaho,16,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
Illinois,1419,>500,Data as of December 28 2022 at 2:00 pm EDT
Indiana,283,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Iowa,27,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
Kansas,45,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
Kentucky,97,51 to 100,Data as of December 28 2022 at 2:00 pm EDT
Louisiana,304,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Maine,13,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
Maryland,738,>500,Data as of December 28 2022 at 2:00 pm EDT
Massachusetts,456,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Michigan,395,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Minnesota,234,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Mississippi,108,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Missouri,208,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Montana,7,1 to 10,Data as of December 28 2022 at 2:00 pm EDT
Nebraska,31,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
Nevada,318,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
New Hampshire,33,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
New Jersey,764,>500,Data as of December 28 2022 at 2:00 pm EDT
New Mexico,55,51 to 100,Data as of December 28 2022 at 2:00 pm EDT
New York,4200,>500,Data as of December 28 2022 at 2:00 pm EDT
North Carolina,696,>500,Data as of December 28 2022 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of December 28 2022 at 2:00 pm EDT
Ohio,386,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Oklahoma,68,51 to 100,Data as of December 28 2022 at 2:00 pm EDT
Oregon,269,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Pennsylvania,864,>500,Data as of December 28 2022 at 2:00 pm EDT
Puerto Rico,198,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Rhode Island,84,51 to 100,Data as of December 28 2022 at 2:00 pm EDT
South Carolina,226,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of December 28 2022 at 2:00 pm EDT
Tennessee,392,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Texas,2859,>500,Data as of December 28 2022 at 2:00 pm EDT
Utah,194,101 to 500,Data as of December 28 2022 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of December 28 2022 at 2:00 pm EDT
Virginia,563,>500,Data as of December 28 2022 at 2:00 pm EDT
Washington,655,>500,Data as of December 28 2022 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of December 28 2022 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of December 28 2022 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of December 28 2022 at 2:00 pm EDT
Total,29792,,Data as of December 28 2022 at 2:00 pm EDT
