Location,Cases,Case_Range,AsOf
Non-US Resident,0,0,Data as of June 14 2023 at 2:00 pm EDT
Alabama,192,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of June 14 2023 at 2:00 pm EDT
Arizona,591,>500,Data as of June 14 2023 at 2:00 pm EDT
Arkansas,74,51 to 100,Data as of June 14 2023 at 2:00 pm EDT
California,5763,>500,Data as of June 14 2023 at 2:00 pm EDT
Colorado,408,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Connecticut,146,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Delaware,44,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
District of Columbia,531,>500,Data as of June 14 2023 at 2:00 pm EDT
Florida,2895,>500,Data as of June 14 2023 at 2:00 pm EDT
Georgia,1996,>500,Data as of June 14 2023 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
Idaho,16,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
Illinois,1480,>500,Data as of June 14 2023 at 2:00 pm EDT
Indiana,288,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
Kansas,50,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
Kentucky,105,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Louisiana,314,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Maine,13,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
Maryland,748,>500,Data as of June 14 2023 at 2:00 pm EDT
Massachusetts,461,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Michigan,399,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Minnesota,236,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Mississippi,109,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Missouri,223,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Montana,7,1 to 10,Data as of June 14 2023 at 2:00 pm EDT
Nebraska,32,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
Nevada,323,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
New Hampshire,36,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
New Jersey,768,>500,Data as of June 14 2023 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of June 14 2023 at 2:00 pm EDT
New York,4266,>500,Data as of June 14 2023 at 2:00 pm EDT
North Carolina,709,>500,Data as of June 14 2023 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of June 14 2023 at 2:00 pm EDT
Ohio,393,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Oklahoma,71,51 to 100,Data as of June 14 2023 at 2:00 pm EDT
Oregon,280,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Pennsylvania,867,>500,Data as of June 14 2023 at 2:00 pm EDT
Puerto Rico,207,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Rhode Island,85,51 to 100,Data as of June 14 2023 at 2:00 pm EDT
South Carolina,239,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of June 14 2023 at 2:00 pm EDT
Tennessee,397,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Texas,3013,>500,Data as of June 14 2023 at 2:00 pm EDT
Utah,197,101 to 500,Data as of June 14 2023 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of June 14 2023 at 2:00 pm EDT
Virginia,572,>500,Data as of June 14 2023 at 2:00 pm EDT
Washington,698,>500,Data as of June 14 2023 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of June 14 2023 at 2:00 pm EDT
Wisconsin,90,51 to 100,Data as of June 14 2023 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of June 14 2023 at 2:00 pm EDT
Total,30487,,Data as of June 14 2023 at 2:00 pm EDT
