Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of November 04 2022 at 2:00 pm EDT
Alabama,168,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of November 04 2022 at 2:00 pm EDT
Arizona,538,>500,Data as of November 04 2022 at 2:00 pm EDT
Arkansas,70,51 to 100,Data as of November 04 2022 at 2:00 pm EDT
California,5512,>500,Data as of November 04 2022 at 2:00 pm EDT
Colorado,344,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Connecticut,143,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Delaware,41,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
District of Columbia,520,>500,Data as of November 04 2022 at 2:00 pm EDT
Florida,2751,>500,Data as of November 04 2022 at 2:00 pm EDT
Georgia,1921,>500,Data as of November 04 2022 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
Idaho,15,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
Illinois,1391,>500,Data as of November 04 2022 at 2:00 pm EDT
Indiana,257,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Iowa,27,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
Kansas,36,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
Kentucky,74,51 to 100,Data as of November 04 2022 at 2:00 pm EDT
Louisiana,283,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Maine,12,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
Maryland,719,>500,Data as of November 04 2022 at 2:00 pm EDT
Massachusetts,439,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Michigan,338,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Minnesota,233,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Mississippi,105,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Missouri,165,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Montana,7,1 to 10,Data as of November 04 2022 at 2:00 pm EDT
Nebraska,31,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
Nevada,304,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
New Hampshire,30,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
New Jersey,751,>500,Data as of November 04 2022 at 2:00 pm EDT
New Mexico,50,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
New York,4119,>500,Data as of November 04 2022 at 2:00 pm EDT
North Carolina,659,>500,Data as of November 04 2022 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of November 04 2022 at 2:00 pm EDT
Ohio,345,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Oklahoma,61,51 to 100,Data as of November 04 2022 at 2:00 pm EDT
Oregon,238,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Pennsylvania,844,>500,Data as of November 04 2022 at 2:00 pm EDT
Puerto Rico,198,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Rhode Island,80,51 to 100,Data as of November 04 2022 at 2:00 pm EDT
South Carolina,211,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of November 04 2022 at 2:00 pm EDT
Tennessee,362,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Texas,2744,>500,Data as of November 04 2022 at 2:00 pm EDT
Utah,182,101 to 500,Data as of November 04 2022 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of November 04 2022 at 2:00 pm EDT
Virginia,534,>500,Data as of November 04 2022 at 2:00 pm EDT
Washington,647,>500,Data as of November 04 2022 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of November 04 2022 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of November 04 2022 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of November 04 2022 at 2:00 pm EDT
Total,28657,,Data as of November 04 2022 at 2:00 pm EDT
