Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of December 07 2022 at 2:00 pm EDT
Alabama,180,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of December 07 2022 at 2:00 pm EDT
Arizona,538,>500,Data as of December 07 2022 at 2:00 pm EDT
Arkansas,72,51 to 100,Data as of December 07 2022 at 2:00 pm EDT
California,5604,>500,Data as of December 07 2022 at 2:00 pm EDT
Colorado,388,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Connecticut,143,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Delaware,43,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
District of Columbia,524,>500,Data as of December 07 2022 at 2:00 pm EDT
Florida,2829,>500,Data as of December 07 2022 at 2:00 pm EDT
Georgia,1973,>500,Data as of December 07 2022 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
Idaho,15,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
Illinois,1416,>500,Data as of December 07 2022 at 2:00 pm EDT
Indiana,277,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Iowa,27,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
Kansas,41,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
Kentucky,87,51 to 100,Data as of December 07 2022 at 2:00 pm EDT
Louisiana,298,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Maine,13,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
Maryland,734,>500,Data as of December 07 2022 at 2:00 pm EDT
Massachusetts,454,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Michigan,388,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Minnesota,234,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Mississippi,108,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Missouri,195,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Montana,7,1 to 10,Data as of December 07 2022 at 2:00 pm EDT
Nebraska,31,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
Nevada,499,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
New Hampshire,33,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
New Jersey,762,>500,Data as of December 07 2022 at 2:00 pm EDT
New Mexico,52,51 to 100,Data as of December 07 2022 at 2:00 pm EDT
New York,4180,>500,Data as of December 07 2022 at 2:00 pm EDT
North Carolina,679,>500,Data as of December 07 2022 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of December 07 2022 at 2:00 pm EDT
Ohio,383,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Oklahoma,68,51 to 100,Data as of December 07 2022 at 2:00 pm EDT
Oregon,268,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Pennsylvania,858,>500,Data as of December 07 2022 at 2:00 pm EDT
Puerto Rico,198,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Rhode Island,83,51 to 100,Data as of December 07 2022 at 2:00 pm EDT
South Carolina,224,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of December 07 2022 at 2:00 pm EDT
Tennessee,386,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Texas,2846,>500,Data as of December 07 2022 at 2:00 pm EDT
Utah,194,101 to 500,Data as of December 07 2022 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of December 07 2022 at 2:00 pm EDT
Virginia,559,>500,Data as of December 07 2022 at 2:00 pm EDT
Washington,662,>500,Data as of December 07 2022 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of December 07 2022 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of December 07 2022 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of December 07 2022 at 2:00 pm EDT
Total,29711,,Data as of December 07 2022 at 2:00 pm EDT
