Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of January 04 2023 at 2:00 pm EDT
Alabama,186,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of January 04 2023 at 2:00 pm EDT
Arizona,580,>500,Data as of January 04 2023 at 2:00 pm EDT
Arkansas,72,51 to 100,Data as of January 04 2023 at 2:00 pm EDT
California,5670,>500,Data as of January 04 2023 at 2:00 pm EDT
Colorado,407,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Connecticut,144,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Delaware,43,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
District of Columbia,525,>500,Data as of January 04 2023 at 2:00 pm EDT
Florida,2855,>500,Data as of January 04 2023 at 2:00 pm EDT
Georgia,1984,>500,Data as of January 04 2023 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
Idaho,16,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
Illinois,1422,>500,Data as of January 04 2023 at 2:00 pm EDT
Indiana,285,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Iowa,29,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
Kansas,47,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
Kentucky,97,51 to 100,Data as of January 04 2023 at 2:00 pm EDT
Louisiana,306,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Maine,13,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
Maryland,739,>500,Data as of January 04 2023 at 2:00 pm EDT
Massachusetts,456,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Michigan,395,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Minnesota,234,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Mississippi,108,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Missouri,209,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Montana,7,1 to 10,Data as of January 04 2023 at 2:00 pm EDT
Nebraska,31,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
Nevada,319,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
New Hampshire,33,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
New Jersey,764,>500,Data as of January 04 2023 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of January 04 2023 at 2:00 pm EDT
New York,4203,>500,Data as of January 04 2023 at 2:00 pm EDT
North Carolina,728,>500,Data as of January 04 2023 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of January 04 2023 at 2:00 pm EDT
Ohio,391,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Oklahoma,68,51 to 100,Data as of January 04 2023 at 2:00 pm EDT
Oregon,270,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Pennsylvania,864,>500,Data as of January 04 2023 at 2:00 pm EDT
Puerto Rico,198,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Rhode Island,84,51 to 100,Data as of January 04 2023 at 2:00 pm EDT
South Carolina,226,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of January 04 2023 at 2:00 pm EDT
Tennessee,392,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Texas,2882,>500,Data as of January 04 2023 at 2:00 pm EDT
Utah,194,101 to 500,Data as of January 04 2023 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of January 04 2023 at 2:00 pm EDT
Virginia,564,>500,Data as of January 04 2023 at 2:00 pm EDT
Washington,658,>500,Data as of January 04 2023 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of January 04 2023 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of January 04 2023 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of January 04 2023 at 2:00 pm EDT
Total,29913,,Data as of January 04 2023 at 2:00 pm EDT
