"Location","Cases","Case Range","AsOf"
"Alabama",78,"51 to 100","Data as of September 02 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Arizona",333,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Arkansas",38,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"California",3833,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Colorado",198,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Connecticut",94,"51 to 100","Data as of September 02 2022 at 2:00 pm EDT"
"Delaware",25,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"District of Columbia",432,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Florida",1991,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Georgia",1445,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Hawaii",18,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"Idaho",11,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"Illinois",1087,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Indiana",172,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Iowa",18,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"Kansas",6,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Kentucky",33,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"Louisiana",185,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Maine",7,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Maryland",534,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Massachusetts",317,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Michigan",199,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Minnesota",130,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Mississippi",40,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"Missouri",55,"51 to 100","Data as of September 02 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Nebraska",27,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"Nevada",154,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"New Hampshire",22,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"New Jersey",561,">500","Data as of September 02 2022 at 2:00 pm EDT"
"New Mexico",26,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"New York",3403,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"North Carolina",346,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Ohio",190,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Oklahoma",24,"11 to 50","Data as of September 02 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Pennsylvania",572,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Puerto Rico",111,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Rhode Island",52,"51 to 100","Data as of September 02 2022 at 2:00 pm EDT"
"South Carolina",115,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Tennessee",192,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Texas",1730,">500","Data as of September 02 2022 at 2:00 pm EDT"
"Total",19962,"","Data as of September 02 2022 at 2:00 pm EDT"
"Utah",103,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Virginia",353,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"Washington",474,"101 to 500","Data as of September 02 2022 at 2:00 pm EDT"
"West Virginia",8,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of September 02 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 02 2022 at 2:00 pm EDT"
