"Location","Cases","Case Range","AsOf"
"Alabama",34,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Alaska",2,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Arizona",213,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Arkansas",21,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"California",2356,">500","Data as of 17 Aug 2022 2:00 PM EDT"
"Colorado",155,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Connecticut",71,"51 to 100","Data as of 17 Aug 2022 2:00 PM EDT"
"Delaware",10,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"District of Columbia",351,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Florida",1346,">500","Data as of 17 Aug 2022 2:00 PM EDT"
"Georgia",1033,">500","Data as of 17 Aug 2022 2:00 PM EDT"
"Hawaii",13,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Idaho",9,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Illinois",875,">500","Data as of 17 Aug 2022 2:00 PM EDT"
"Indiana",101,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Iowa",15,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Kansas",3,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Kentucky",17,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Louisiana",120,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Maine",3,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Maryland",349,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Massachusetts",228,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Michigan",99,"51 to 100","Data as of 17 Aug 2022 2:00 PM EDT"
"Minnesota",78,"51 to 100","Data as of 17 Aug 2022 2:00 PM EDT"
"Mississippi",17,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Missouri",25,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Montana",2,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Nebraska",17,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Nevada",109,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"New Hampshire",15,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"New Jersey",367,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"New Mexico",16,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"New York",2675,">500","Data as of 17 Aug 2022 2:00 PM EDT"
"Non-US Resident",3,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"North Carolina",188,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"North Dakota",3,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Ohio",119,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Oklahoma",15,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Oregon",116,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Pennsylvania",362,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Puerto Rico",66,"51 to 100","Data as of 17 Aug 2022 2:00 PM EDT"
"Rhode Island",33,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"South Carolina",73,"51 to 100","Data as of 17 Aug 2022 2:00 PM EDT"
"South Dakota",2,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Tennessee",99,"51 to 100","Data as of 17 Aug 2022 2:00 PM EDT"
"Texas",1078,">500","Data as of 17 Aug 2022 2:00 PM EDT"
"Total",13517,"","Data as of 17 Aug 2022 2:00 PM EDT"
"Utah",73,"51 to 100","Data as of 17 Aug 2022 2:00 PM EDT"
"Vermont",2,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Virginia",189,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"Washington",303,"101 to 500","Data as of 17 Aug 2022 2:00 PM EDT"
"West Virginia",5,"1 to 10","Data as of 17 Aug 2022 2:00 PM EDT"
"Wisconsin",43,"11 to 50","Data as of 17 Aug 2022 2:00 PM EDT"
"Wyoming",0,"0","Data as of 17 Aug 2022 2:00 PM EDT"
