"Location","Cases","Case Range","AsOf"
"Alabama",90,"51 to 100","Data as of September 12 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Arizona",374,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Arkansas",49,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"California",4300,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Colorado",235,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Connecticut",113,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Delaware",33,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"District of Columbia",457,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Florida",2193,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Georgia",1557,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Hawaii",25,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"Idaho",11,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"Illinois",1141,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Indiana",188,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Iowa",22,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"Kansas",7,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Kentucky",36,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"Louisiana",211,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Maine",7,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Maryland",571,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Massachusetts",347,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Michigan",227,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Minnesota",160,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Mississippi",53,"51 to 100","Data as of September 12 2022 at 2:00 pm EDT"
"Missouri",62,"51 to 100","Data as of September 12 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Nebraska",28,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"Nevada",204,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"New Hampshire",23,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"New Jersey",610,">500","Data as of September 12 2022 at 2:00 pm EDT"
"New Mexico",32,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"New York",3591,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"North Carolina",387,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Ohio",226,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Oklahoma",29,"11 to 50","Data as of September 12 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Pennsylvania",649,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Puerto Rico",151,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Rhode Island",61,"51 to 100","Data as of September 12 2022 at 2:00 pm EDT"
"South Carolina",131,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Tennessee",212,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Texas",1929,">500","Data as of September 12 2022 at 2:00 pm EDT"
"Total",21985,"","Data as of September 12 2022 at 2:00 pm EDT"
"Utah",120,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Virginia",397,"101 to 500","Data as of September 12 2022 at 2:00 pm EDT"
"Washington",506,">500","Data as of September 12 2022 at 2:00 pm EDT"
"West Virginia",10,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of September 12 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 12 2022 at 2:00 pm EDT"
