Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of November 10 2022 at 2:00 pm EDT
Alabama,170,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of November 10 2022 at 2:00 pm EDT
Arizona,538,>500,Data as of November 10 2022 at 2:00 pm EDT
Arkansas,70,51 to 100,Data as of November 10 2022 at 2:00 pm EDT
California,5547,>500,Data as of November 10 2022 at 2:00 pm EDT
Colorado,354,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Connecticut,143,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Delaware,41,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
District of Columbia,521,>500,Data as of November 10 2022 at 2:00 pm EDT
Florida,2764,>500,Data as of November 10 2022 at 2:00 pm EDT
Georgia,1931,>500,Data as of November 10 2022 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
Idaho,15,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
Illinois,1397,>500,Data as of November 10 2022 at 2:00 pm EDT
Indiana,262,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Iowa,27,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
Kansas,36,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
Kentucky,74,51 to 100,Data as of November 10 2022 at 2:00 pm EDT
Louisiana,287,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Maine,12,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
Maryland,723,>500,Data as of November 10 2022 at 2:00 pm EDT
Massachusetts,445,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Michigan,352,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Minnesota,233,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Mississippi,105,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Missouri,169,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Montana,7,1 to 10,Data as of November 10 2022 at 2:00 pm EDT
Nebraska,31,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
Nevada,304,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
New Hampshire,31,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
New Jersey,754,>500,Data as of November 10 2022 at 2:00 pm EDT
New Mexico,51,51 to 100,Data as of November 10 2022 at 2:00 pm EDT
New York,4134,>500,Data as of November 10 2022 at 2:00 pm EDT
North Carolina,666,>500,Data as of November 10 2022 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of November 10 2022 at 2:00 pm EDT
Ohio,359,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Oklahoma,62,51 to 100,Data as of November 10 2022 at 2:00 pm EDT
Oregon,245,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Pennsylvania,851,>500,Data as of November 10 2022 at 2:00 pm EDT
Puerto Rico,198,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Rhode Island,81,51 to 100,Data as of November 10 2022 at 2:00 pm EDT
South Carolina,215,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of November 10 2022 at 2:00 pm EDT
Tennessee,370,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Texas,2771,>500,Data as of November 10 2022 at 2:00 pm EDT
Utah,185,101 to 500,Data as of November 10 2022 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of November 10 2022 at 2:00 pm EDT
Virginia,543,>500,Data as of November 10 2022 at 2:00 pm EDT
Washington,649,>500,Data as of November 10 2022 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of November 10 2022 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of November 10 2022 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of November 10 2022 at 2:00 pm EDT
Total,28881,,Data as of November 10 2022 at 2:00 pm EDT
