Location,Cases,Case_Range,AsOf
Non-US Resident,3,1 to 10,Data as of November 18 2022 at 2:00 pm EDT
Alabama,171,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of November 18 2022 at 2:00 pm EDT
Arizona,538,>500,Data as of November 18 2022 at 2:00 pm EDT
Arkansas,70,51 to 100,Data as of November 18 2022 at 2:00 pm EDT
California,5572,>500,Data as of November 18 2022 at 2:00 pm EDT
Colorado,369,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Connecticut,143,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Delaware,43,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
District of Columbia,522,>500,Data as of November 18 2022 at 2:00 pm EDT
Florida,2789,>500,Data as of November 18 2022 at 2:00 pm EDT
Georgia,1946,>500,Data as of November 18 2022 at 2:00 pm EDT
Hawaii,35,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
Idaho,15,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
Illinois,1404,>500,Data as of November 18 2022 at 2:00 pm EDT
Indiana,264,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Iowa,27,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
Kansas,36,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
Kentucky,80,51 to 100,Data as of November 18 2022 at 2:00 pm EDT
Louisiana,290,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Maine,12,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
Maryland,726,>500,Data as of November 18 2022 at 2:00 pm EDT
Massachusetts,449,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Michigan,372,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Minnesota,233,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Mississippi,106,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Missouri,174,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Montana,7,1 to 10,Data as of November 18 2022 at 2:00 pm EDT
Nebraska,31,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
Nevada,310,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
New Hampshire,33,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
New Jersey,759,>500,Data as of November 18 2022 at 2:00 pm EDT
New Mexico,52,51 to 100,Data as of November 18 2022 at 2:00 pm EDT
New York,4146,>500,Data as of November 18 2022 at 2:00 pm EDT
North Carolina,669,>500,Data as of November 18 2022 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of November 18 2022 at 2:00 pm EDT
Ohio,370,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Oklahoma,67,51 to 100,Data as of November 18 2022 at 2:00 pm EDT
Oregon,254,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Pennsylvania,856,>500,Data as of November 18 2022 at 2:00 pm EDT
Puerto Rico,198,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Rhode Island,82,51 to 100,Data as of November 18 2022 at 2:00 pm EDT
South Carolina,216,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of November 18 2022 at 2:00 pm EDT
Tennessee,375,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Texas,2803,>500,Data as of November 18 2022 at 2:00 pm EDT
Utah,190,101 to 500,Data as of November 18 2022 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of November 18 2022 at 2:00 pm EDT
Virginia,551,>500,Data as of November 18 2022 at 2:00 pm EDT
Washington,655,>500,Data as of November 18 2022 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of November 18 2022 at 2:00 pm EDT
Wisconsin,87,51 to 100,Data as of November 18 2022 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of November 18 2022 at 2:00 pm EDT
Total,29133,,Data as of November 18 2022 at 2:00 pm EDT
