"Location","Cases","Case Range","AsOf"
"Alabama",90,"51 to 100","Data as of September 14 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Arizona",399,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Arkansas",52,"51 to 100","Data as of September 14 2022 at 2:00 pm EDT"
"California",4300,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Colorado",235,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Connecticut",114,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Delaware",35,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"District of Columbia",473,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Florida",2301,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Georgia",1614,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Hawaii",25,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"Idaho",12,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"Illinois",1187,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Indiana",195,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Iowa",22,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"Kansas",7,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Kentucky",39,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"Louisiana",219,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Maine",7,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Maryland",598,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Massachusetts",356,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Michigan",237,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Minnesota",163,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Mississippi",55,"51 to 100","Data as of September 14 2022 at 2:00 pm EDT"
"Missouri",70,"51 to 100","Data as of September 14 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Nebraska",28,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"Nevada",204,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"New Hampshire",27,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"New Jersey",633,">500","Data as of September 14 2022 at 2:00 pm EDT"
"New Mexico",33,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"New York",3694,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"North Carolina",435,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Ohio",236,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Oklahoma",31,"11 to 50","Data as of September 14 2022 at 2:00 pm EDT"
"Oregon",183,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Pennsylvania",678,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Puerto Rico",155,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Rhode Island",61,"51 to 100","Data as of September 14 2022 at 2:00 pm EDT"
"South Carolina",133,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Tennessee",239,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Texas",2017,">500","Data as of September 14 2022 at 2:00 pm EDT"
"Total",22774,"","Data as of September 14 2022 at 2:00 pm EDT"
"Utah",128,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Virginia",422,"101 to 500","Data as of September 14 2022 at 2:00 pm EDT"
"Washington",535,">500","Data as of September 14 2022 at 2:00 pm EDT"
"West Virginia",10,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
"Wisconsin",64,"51 to 100","Data as of September 14 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 14 2022 at 2:00 pm EDT"
