"Location","Cases","Case Range","AsOf"
"Alabama",82,"51 to 100","Data as of September 07 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Arizona",356,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Arkansas",43,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"California",4140,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Colorado",235,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Connecticut",104,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Delaware",28,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"District of Columbia",436,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Florida",2148,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Georgia",1522,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Hawaii",25,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"Idaho",11,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"Illinois",1128,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Indiana",182,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Iowa",20,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"Kansas",7,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Kentucky",34,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"Louisiana",198,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Maine",7,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Maryland",559,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Massachusetts",336,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Michigan",202,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Minnesota",141,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Mississippi",44,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"Missouri",61,"51 to 100","Data as of September 07 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Nebraska",28,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"Nevada",204,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"New Hampshire",22,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"New Jersey",595,">500","Data as of September 07 2022 at 2:00 pm EDT"
"New Mexico",27,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"New York",3542,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"North Carolina",382,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Ohio",213,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Oklahoma",24,"11 to 50","Data as of September 07 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Pennsylvania",618,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Puerto Rico",126,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Rhode Island",53,"51 to 100","Data as of September 07 2022 at 2:00 pm EDT"
"South Carolina",120,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Tennessee",213,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Texas",1871,">500","Data as of September 07 2022 at 2:00 pm EDT"
"Total",21274,"","Data as of September 07 2022 at 2:00 pm EDT"
"Utah",111,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Virginia",364,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"Washington",484,"101 to 500","Data as of September 07 2022 at 2:00 pm EDT"
"West Virginia",8,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of September 07 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 07 2022 at 2:00 pm EDT"
