"Location","Cases","Case Range","AsOf"
"Alabama",53,"51 to 100",Data as of August 26 2022 at 2:00 pm EDT
"Alaska",3,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Arizona",281,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Arkansas",28,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"California",3291,">500","Data as of August 26 2022 at 2:00 pm EDT"
"Colorado",189,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Connecticut",89,"51 to 100","Data as of August 26 2022 at 2:00 pm EDT"
"Delaware",21,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"District of Columbia",414,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Florida",1739,">500","Data as of August 26 2022 at 2:00 pm EDT"
"Georgia",1299,">500","Data as of August 26 2022 at 2:00 pm EDT"
"Hawaii",15,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"Idaho",9,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Illinois",1005,">500","Data as of August 26 2022 at 2:00 pm EDT"
"Indiana",147,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Iowa",18,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"Kansas",5,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Kentucky",27,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"Louisiana",162,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Maine",5,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Maryland",461,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Massachusetts",280,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Michigan",165,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Minnesota",109,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Mississippi",29,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"Missouri",42,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"Montana",3,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Nebraska",25,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"Nevada",127,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"New Hampshire",19,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"New Jersey",479,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"New Mexico",23,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"New York",3124,">500","Data as of August 26 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"North Carolina",288,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"North Dakota",4,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Ohio",151,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Oklahoma",22,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Pennsylvania",477,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Puerto Rico",97,"51 to 100","Data as of August 26 2022 at 2:00 pm EDT"
"Rhode Island",42,"11 to 50","Data as of August 26 2022 at 2:00 pm EDT"
"South Carolina",100,"51 to 100","Data as of August 26 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Tennessee",156,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Texas",1472,">500","Data as of August 26 2022 at 2:00 pm EDT"
"Total",17432,"","Data as of August 26 2022 at 2:00 pm EDT"
"Utah",93,"51 to 100","Data as of August 26 2022 at 2:00 pm EDT"
"Vermont",2,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Virginia",302,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"Washington",332,"101 to 500","Data as of August 26 2022 at 2:00 pm EDT"
"West Virginia",5,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of August 26 2022 at 2:00 pm EDT"
"Wyoming",1,"1 to 10","Data as of August 26 2022 at 2:00 pm EDT"
