"Location","Cases","Case Range","AsOf"
"Alabama",90,"51 to 100","Data as of September 16 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"Arizona",411,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Arkansas",54,"51 to 100","Data as of September 16 2022 at 2:00 pm EDT"
"California",4656,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Colorado",253,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Connecticut",120,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Delaware",35,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"District of Columbia",477,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Florida",2352,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Georgia",1658,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Hawaii",25,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"Idaho",12,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"Illinois",1212,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Indiana",203,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Iowa",23,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"Kansas",8,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"Kentucky",45,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"Louisiana",230,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Maine",9,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"Maryland",609,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Massachusetts",364,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Michigan",244,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Minnesota",167,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Mississippi",61,"51 to 100","Data as of September 16 2022 at 2:00 pm EDT"
"Missouri",75,"51 to 100","Data as of September 16 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"Nebraska",28,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"Nevada",217,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"New Hampshire",27,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"New Jersey",647,">500","Data as of September 16 2022 at 2:00 pm EDT"
"New Mexico",33,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"New York",3738,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"North Carolina",434,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"Ohio",240,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Oklahoma",33,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"Oregon",183,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Pennsylvania",691,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Puerto Rico",160,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Rhode Island",63,"51 to 100","Data as of September 16 2022 at 2:00 pm EDT"
"South Carolina",138,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"Tennessee",249,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Texas",2017,">500","Data as of September 16 2022 at 2:00 pm EDT"
"Total",23499,"","Data as of September 16 2022 at 2:00 pm EDT"
"Utah",133,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
"Virginia",430,"101 to 500","Data as of September 16 2022 at 2:00 pm EDT"
"Washington",547,">500","Data as of September 16 2022 at 2:00 pm EDT"
"West Virginia",11,"11 to 50","Data as of September 16 2022 at 2:00 pm EDT"
"Wisconsin",64,"51 to 100","Data as of September 16 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 16 2022 at 2:00 pm EDT"
