"Location","Cases","Case Range","AsOf"
"Alabama",78,"51 to 100","Data as of September 06 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Arizona",341,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Arkansas",40,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"California",3833,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Colorado",198,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Connecticut",102,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Delaware",26,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"District of Columbia",436,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Florida",2126,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Georgia",1512,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Hawaii",22,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"Idaho",11,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"Illinois",1128,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Indiana",178,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Iowa",19,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"Kansas",7,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Kentucky",34,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"Louisiana",198,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Maine",7,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Maryland",554,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Massachusetts",336,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Michigan",200,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Minnesota",141,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Mississippi",41,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"Missouri",59,"51 to 100","Data as of September 06 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Nebraska",28,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"Nevada",154,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"New Hampshire",22,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"New Jersey",594,">500","Data as of September 06 2022 at 2:00 pm EDT"
"New Mexico",27,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"New York",3526,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"North Carolina",377,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Ohio",210,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Oklahoma",24,"11 to 50","Data as of September 06 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Pennsylvania",603,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Puerto Rico",126,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Rhode Island",53,"51 to 100","Data as of September 06 2022 at 2:00 pm EDT"
"South Carolina",119,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Tennessee",208,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Texas",1859,">500","Data as of September 06 2022 at 2:00 pm EDT"
"Total",20733,"","Data as of September 06 2022 at 2:00 pm EDT"
"Utah",110,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Virginia",364,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"Washington",474,"101 to 500","Data as of September 06 2022 at 2:00 pm EDT"
"West Virginia",8,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of September 06 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 06 2022 at 2:00 pm EDT"
