"Location","Cases","Case Range","AsOf"
"Alabama",105,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Alaska",5,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"Arizona",430,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Arkansas",56,"51 to 100","Data as of September 21 2022 at 2:00 pm EDT"
"California",4753,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Colorado",263,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Connecticut",123,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Delaware",35,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"District of Columbia",488,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Florida",2422,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Georgia",1717,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Hawaii",27,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"Idaho",12,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"Illinois",1263,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Indiana",218,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Iowa",24,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"Kansas",9,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"Kentucky",50,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"Louisiana",234,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Maine",9,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"Maryland",631,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Massachusetts",374,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Michigan",257,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Minnesota",178,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Mississippi",70,"51 to 100","Data as of September 21 2022 at 2:00 pm EDT"
"Missouri",84,"51 to 100","Data as of September 21 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"Nebraska",28,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"Nevada",217,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"New Hampshire",28,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"New Jersey",668,">500","Data as of September 21 2022 at 2:00 pm EDT"
"New Mexico",40,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"New York",3810,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"North Carolina",434,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"Ohio",257,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Oklahoma",36,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"Oregon",203,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Pennsylvania",713,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Puerto Rico",167,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Rhode Island",70,"51 to 100","Data as of September 21 2022 at 2:00 pm EDT"
"South Carolina",149,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"Tennessee",264,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Texas",2179,">500","Data as of September 21 2022 at 2:00 pm EDT"
"Total",24364,"","Data as of September 21 2022 at 2:00 pm EDT"
"Utah",149,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
"Virginia",440,"101 to 500","Data as of September 21 2022 at 2:00 pm EDT"
"Washington",575,">500","Data as of September 21 2022 at 2:00 pm EDT"
"West Virginia",11,"11 to 50","Data as of September 21 2022 at 2:00 pm EDT"
"Wisconsin",69,"51 to 100","Data as of September 21 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of September 21 2022 at 2:00 pm EDT"
