"Location","Cases","Case Range","AsOf"
"Alabama",53,"51 to 100","Data as of August 24 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Arizona",269,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Arkansas",24,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"California",3068,">500","Data as of August 24 2022 at 2:00 pm EDT"
"Colorado",189,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Connecticut",86,"51 to 100","Data as of August 24 2022 at 2:00 pm EDT"
"Delaware",19,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"District of Columbia",402,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Florida",1669,">500","Data as of August 24 2022 at 2:00 pm EDT"
"Georgia",1240,">500","Data as of August 24 2022 at 2:00 pm EDT"
"Hawaii",15,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"Idaho",9,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Illinois",983,">500","Data as of August 24 2022 at 2:00 pm EDT"
"Indiana",137,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Iowa",16,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"Kansas",4,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Kentucky",24,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"Louisiana",155,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Maine",5,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Maryland",447,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Massachusetts",265,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Michigan",145,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Minnesota",106,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Mississippi",23,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"Missouri",39,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"Montana",2,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Nebraska",23,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"Nevada",124,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"New Hampshire",17,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"New Jersey",450,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"New Mexico",21,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"New York",3038,">500","Data as of August 24 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"North Carolina",265,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"North Dakota",4,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Ohio",144,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Oklahoma",22,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Pennsylvania",451,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Puerto Rico",90,"51 to 100","Data as of August 24 2022 at 2:00 pm EDT"
"Rhode Island",40,"11 to 50","Data as of August 24 2022 at 2:00 pm EDT"
"South Carolina",94,"51 to 100","Data as of August 24 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Tennessee",139,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Texas",1374,">500","Data as of August 24 2022 at 2:00 pm EDT"
"Total",16603,"","Data as of August 24 2022 at 2:00 pm EDT"
"Utah",89,"51 to 100","Data as of August 24 2022 at 2:00 pm EDT"
"Vermont",2,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Virginia",284,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"Washington",328,"101 to 500","Data as of August 24 2022 at 2:00 pm EDT"
"West Virginia",4,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of August 24 2022 at 2:00 pm EDT"
"Wyoming",1,"1 to 10","Data as of August 24 2022 at 2:00 pm EDT"
