Location,Cases,Case_Range,AsOf
Non-US Resident,0,0,Data as of January 11 2024 at 2:00 pm EDT
Alabama,194,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Alaska,5,1 to 10,Data as of January 11 2024 at 2:00 pm EDT
Arizona,603,>500,Data as of January 11 2024 at 2:00 pm EDT
Arkansas,81,51 to 100,Data as of January 11 2024 at 2:00 pm EDT
California,6114,>500,Data as of January 11 2024 at 2:00 pm EDT
Colorado,418,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Connecticut,149,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Delaware,44,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
District of Columbia,556,>500,Data as of January 11 2024 at 2:00 pm EDT
Florida,2957,>500,Data as of January 11 2024 at 2:00 pm EDT
Georgia,2047,>500,Data as of January 11 2024 at 2:00 pm EDT
Hawaii,39,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
Idaho,26,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
Illinois,1569,>500,Data as of January 11 2024 at 2:00 pm EDT
Indiana,307,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Iowa,30,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
Kansas,50,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
Kentucky,110,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Louisiana,327,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Maine,13,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
Maryland,759,>500,Data as of January 11 2024 at 2:00 pm EDT
Massachusetts,472,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Michigan,399,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Minnesota,254,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Mississippi,110,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Missouri,225,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Montana,7,1 to 10,Data as of January 11 2024 at 2:00 pm EDT
Nebraska,34,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
Nevada,339,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
New Hampshire,35,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
New Jersey,795,>500,Data as of January 11 2024 at 2:00 pm EDT
New Mexico,57,51 to 100,Data as of January 11 2024 at 2:00 pm EDT
New York,4448,>500,Data as of January 11 2024 at 2:00 pm EDT
North Carolina,717,>500,Data as of January 11 2024 at 2:00 pm EDT
North Dakota,6,1 to 10,Data as of January 11 2024 at 2:00 pm EDT
Ohio,420,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Oklahoma,84,51 to 100,Data as of January 11 2024 at 2:00 pm EDT
Oregon,300,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Pennsylvania,875,>500,Data as of January 11 2024 at 2:00 pm EDT
Puerto Rico,207,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Rhode Island,88,51 to 100,Data as of January 11 2024 at 2:00 pm EDT
South Carolina,239,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
South Dakota,3,1 to 10,Data as of January 11 2024 at 2:00 pm EDT
Tennessee,416,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Texas,3136,>500,Data as of January 11 2024 at 2:00 pm EDT
Utah,202,101 to 500,Data as of January 11 2024 at 2:00 pm EDT
Vermont,3,1 to 10,Data as of January 11 2024 at 2:00 pm EDT
Virginia,577,>500,Data as of January 11 2024 at 2:00 pm EDT
Washington,734,>500,Data as of January 11 2024 at 2:00 pm EDT
West Virginia,12,11 to 50,Data as of January 11 2024 at 2:00 pm EDT
Wisconsin,93,51 to 100,Data as of January 11 2024 at 2:00 pm EDT
Wyoming,4,1 to 10,Data as of January 11 2024 at 2:00 pm EDT
Total,31689,,Data as of January 11 2024 at 2:00 pm EDT
