Location,Cases,Case Range,AsOf
Alabama,34,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Alaska,2,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Arizona,220,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Arkansas,21,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
California,2663,>500,Data as of 18 Aug 2022 2:00 PM EDT
Colorado,155,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Connecticut,73,51 to 100,Data as of 18 Aug 2022 2:00 PM EDT
Delaware,10,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
District of Columbia,351,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Florida,1372,>500,Data as of 18 Aug 2022 2:00 PM EDT
Georgia,1066,>500,Data as of 18 Aug 2022 2:00 PM EDT
Hawaii,13,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Idaho,9,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Illinois,888,>500,Data as of 18 Aug 2022 2:00 PM EDT
Indiana,102,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Iowa,15,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Kansas,3,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Kentucky,18,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Louisiana,127,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Maine,3,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Maryland,349,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Massachusetts,243,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Michigan,108,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Minnesota,87,51 to 100,Data as of 18 Aug 2022 2:00 PM EDT
Mississippi,18,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Missouri,25,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Montana,2,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Nebraska,18,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Nevada,113,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
New Hampshire,16,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
New Jersey,377,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
New Mexico,16,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
New York,2744,>500,Data as of 18 Aug 2022 2:00 PM EDT
Non-US Resident,3,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
North Carolina,188,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
North Dakota,3,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Ohio,123,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Oklahoma,17,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Oregon,116,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Pennsylvania,371,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Puerto Rico,66,51 to 100,Data as of 18 Aug 2022 2:00 PM EDT
Rhode Island,37,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
South Carolina,72,51 to 100,Data as of 18 Aug 2022 2:00 PM EDT
South Dakota,2,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Tennessee,107,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Texas,1079,>500,Data as of 18 Aug 2022 2:00 PM EDT
Total,14115,,Data as of 18 Aug 2022 2:00 PM EDT
Utah,77,51 to 100,Data as of 18 Aug 2022 2:00 PM EDT
Vermont,2,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Virginia,229,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
Washington,314,101 to 500,Data as of 18 Aug 2022 2:00 PM EDT
West Virginia,5,1 to 10,Data as of 18 Aug 2022 2:00 PM EDT
Wisconsin,43,11 to 50,Data as of 18 Aug 2022 2:00 PM EDT
Wyoming,0,0,Data as of 18 Aug 2022 2:00 PM EDT
