"Location","Cases","Case Range","AsOf"
"Alabama",69,"51 to 100","Data as of August 31 2022 at 2:00 pm EDT"
"Alaska",3,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Arizona",317,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Arkansas",32,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"California",3629,">500","Data as of August 31 2022 at 2:00 pm EDT"
"Colorado",198,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Connecticut",91,"51 to 100","Data as of August 31 2022 at 2:00 pm EDT"
"Delaware",22,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"District of Columbia",432,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Florida",1922,">500","Data as of August 31 2022 at 2:00 pm EDT"
"Georgia",1403,">500","Data as of August 31 2022 at 2:00 pm EDT"
"Hawaii",18,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"Idaho",11,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"Illinois",1069,">500","Data as of August 31 2022 at 2:00 pm EDT"
"Indiana",153,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Iowa",18,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"Kansas",5,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Kentucky",31,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"Louisiana",183,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Maine",5,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Maryland",484,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Massachusetts",303,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Michigan",186,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Minnesota",123,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Mississippi",32,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"Missouri",53,"51 to 100","Data as of August 31 2022 at 2:00 pm EDT"
"Montana",5,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Nebraska",27,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"Nevada",141,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"New Hampshire",20,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"New Jersey",512,">500","Data as of August 31 2022 at 2:00 pm EDT"
"New Mexico",26,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"New York",3310,">500","Data as of August 31 2022 at 2:00 pm EDT"
"Non-US Resident",3,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"North Carolina",318,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"North Dakota",5,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Ohio",172,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Oklahoma",22,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"Oregon",141,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Pennsylvania",544,">500","Data as of August 31 2022 at 2:00 pm EDT"
"Puerto Rico",111,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Rhode Island",43,"11 to 50","Data as of August 31 2022 at 2:00 pm EDT"
"South Carolina",113,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"South Dakota",2,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Tennessee",181,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Texas",1664,">500","Data as of August 31 2022 at 2:00 pm EDT"
"Total",18989,"","Data as of August 31 2022 at 2:00 pm EDT"
"Utah",100,"51 to 100","Data as of August 31 2022 at 2:00 pm EDT"
"Vermont",3,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Virginia",339,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"Washington",332,"101 to 500","Data as of August 31 2022 at 2:00 pm EDT"
"West Virginia",5,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
"Wisconsin",56,"51 to 100","Data as of August 31 2022 at 2:00 pm EDT"
"Wyoming",2,"1 to 10","Data as of August 31 2022 at 2:00 pm EDT"
